Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
30-C.Clemons,MIA,DB,1310,0,0.0%,1136,99.2%,174,37.3%
65-L.Vasquez,DEN,OL,1308,1207,100%,0,0.0%,101,18.8%
68-Z.Beadles,DEN,OL,1299,1198,99.3%,0,0.0%,101,18.8%
95-Cha.Jones,NE,DL,1284,0,0.0%,1125,97.9%,159,32.5%
62-R.Wendell,NE,OL,1281,1197,100%,0,0.0%,84,17.2%
21-P.Peterson,ARI,DB,1270,38,3.5%,1074,99.3%,158,33.5%
70-L.Mankins,NE,OL,1265,1184,98.9%,0,0.0%,81,16.6%
39-B.Carr,DAL,DB,1257,0,0.0%,1116,98.0%,141,29.6%
52-C.Greenway,MIN,LB,1251,0,0.0%,1152,98.7%,99,19.7%
52-D.Jackson,CLE,LB,1246,0,0.0%,1147,99.9%,99,20.5%
29-N.Allen,PHI,DB,1244,0,0.0%,1096,91.0%,148,30.7%
37-Y.Bell,ARI,DB,1237,0,0.0%,1070,98.9%,167,35.5%
32-O.Scandrick,DAL,DB,1236,0,0.0%,1088,95.5%,148,31.0%
50-K.Alonso,BUF,LB,1233,0,0.0%,1145,100%,88,17.3%
79-E.Pears,BUF,OL,1230,1161,100%,0,0.0%,69,13.6%
77-C.Glenn,BUF,OL,1230,1161,100%,0,0.0%,69,13.6%
32-E.Weddle,SD,DB,1225,0,0.0%,992,99.9%,233,52.1%
20-P.Amukamara,NYG,DB,1225,0,0.0%,1078,95.5%,147,31.3%
56-P.Riley,WAS,LB,1224,0,0.0%,987,96.7%,237,49.7%
26-D.Landry,NYJ,DB,1218,0,0.0%,1081,98.3%,137,28.5%
32-D.McCourty,NE,DB,1210,0,0.0%,1024,89.1%,186,38.0%
66-B.Grubbs,NO,OL,1208,1126,100%,0,0.0%,82,18.1%
98-C.Barwin,PHI,LB,1207,0,0.0%,1128,93.7%,79,16.4%
56-D.Davis,NYJ,LB,1206,0,0.0%,1046,95.1%,160,33.3%
66-M.Ramirez,DEN,OL,1205,1198,99.3%,0,0.0%,7,1.3%
73-M.Yanda,BAL,OL,1205,1137,99.9%,0,0.0%,68,13.8%
60-K.Urbik,BUF,OL,1204,1143,98.4%,0,0.0%,61,12.0%
23-R.McLeod,LARM/STL,DB,1203,0,0.0%,1060,99.4%,143,31.8%
66-C.Chester,WAS,OL,1203,1143,99.9%,0,0.0%,60,12.6%
74-T.Polumbus,WAS,OL,1203,1143,99.9%,0,0.0%,60,12.6%
71-J.Sitton,GB,OL,1202,1122,100%,0,0.0%,80,16.5%
23-J.Haden,CLE,DB,1200,0,0.0%,1051,91.6%,149,30.9%
69-D.Bakhtiari,GB,OL,1199,1119,99.7%,0,0.0%,80,16.5%
75-L.Warford,DET,OL,1198,1126,99.4%,0,0.0%,72,15.2%
12-T.Brady,NE,QB,1197,1197,100%,0,0.0%,0,0.0%
63-D.Connolly,NE,OL,1197,1117,93.3%,0,0.0%,80,16.4%
43-T.Ward,CLE,DB,1193,0,0.0%,1112,96.9%,81,16.8%
71-T.Williams,WAS,OL,1192,1142,99.8%,0,0.0%,50,10.5%
67-R.Sims,DET,OL,1189,1126,99.4%,0,0.0%,63,13.3%
51-D.Raiola,DET,OL,1186,1124,99.2%,0,0.0%,62,13.1%
21-J.Jenkins,LARM/STL,DB,1186,0,0.0%,1045,98.0%,141,31.4%
54-L.David,TB,LB,1184,0,0.0%,1022,96.5%,162,35.6%
20-R.Jones,MIA,DB,1183,0,0.0%,1145,100%,38,8.1%
39-T.Gipson,CLE,DB,1183,0,0.0%,1101,95.9%,82,17.0%
52-D.Harris,NYJ,LB,1182,0,0.0%,1098,99.8%,84,17.5%
79-T.Herremans,PHI,OL,1179,1104,100%,0,0.0%,75,15.6%
69-E.Mathis,PHI,OL,1179,1104,100%,0,0.0%,75,15.6%
65-L.Johnson,PHI,OL,1178,1103,99.9%,0,0.0%,75,15.6%
26-A.Rolle,NYG,DB,1177,0,0.0%,1124,99.6%,53,11.3%
42-B.Church,DAL,DB,1174,0,0.0%,1015,89.1%,159,33.3%
71-An.Smith,CIN,OL,1173,1098,97.1%,0,0.0%,75,16.1%
26-C.Williams,PHI,DB,1173,0,0.0%,1132,94.0%,41,8.5%
70-T.Lang,GB,OL,1172,1093,97.4%,0,0.0%,79,16.3%
63-W.Montgomery,WAS,OL,1172,1144,100%,0,0.0%,28,5.9%
22-B.Skrine,CLE,DB,1171,0,0.0%,1052,91.6%,119,24.7%
50-R.Ninkovich,NE,DL,1170,0,0.0%,1097,95.5%,73,14.9%
55-A.Mack,CLE,OL,1169,1107,100%,0,0.0%,62,12.9%
72-M.Schwartz,CLE,OL,1169,1107,100%,0,0.0%,62,12.9%
73-J.Thomas,CLE,OL,1168,1106,99.9%,0,0.0%,62,12.9%
77-N.Solder,NE,OL,1166,1085,90.6%,0,0.0%,81,16.6%
66-G.Gradkowski,BAL,OL,1164,1137,99.9%,0,0.0%,27,5.5%
59-D.Ryans,PHI,LB,1163,0,0.0%,1156,96.0%,7,1.5%
56-K.Dansby,ARI,LB,1162,0,0.0%,1078,99.6%,84,17.8%
74-O.Franklin,DEN,OL,1161,1092,90.5%,0,0.0%,69,12.8%
