Year,Week,Team
2012,4,IND
2012,4,PIT
2012,5,DAL
2012,5,DET
2012,5,OAK
2012,5,TB
2012,6,CHI
2012,6,NO
2012,6,CAR
2012,6,JAC
2012,7,ATL
2012,7,DEN
2012,7,KC
2012,7,MIA
2012,7,PHI
2012,7,SD
2012,8,BUF
2012,8,CIN
2012,8,BAL
2012,8,HOU
2012,9,LARM/STL
2012,9,NE
2012,9,NYJ
2012,9,SF
2012,10,CLE
2012,10,GB
2012,10,ARI
2012,10,WAS
2012,11,TEN
2012,11,MIN
2012,11,NYG
2012,11,SEA
2013,4,CAR
2013,4,GB
2013,5,MIN
2013,5,PIT
2013,5,TB
2013,5,WAS
2013,6,ATL
2013,6,MIA
2013,7,NO
2013,7,OAK
2013,8,BAL
2013,8,CHI
2013,8,HOU
2013,8,IND
2013,8,SD
2013,8,TEN
2013,9,ARI
2013,9,DEN
2013,9,DET
2013,9,JAC
2013,9,NYG
2013,9,SF
2013,10,CLE
2013,10,KC
2013,10,NE
2013,10,NYJ
2013,11,DAL
2013,11,LARM/STL
2013,12,BUF
2013,12,CIN
2013,12,PHI
2013,12,SEA
2014,4,ARI
2014,4,SEA
2014,4,DEN
2014,4,LARM/STL
2014,4,CIN
2014,4,CLE
2014,5,OAK
2014,5,MIA
2014,6,KC
2014,6,NO
2014,7,PHI
2014,7,TB
2014,8,NYG
2014,8,SF
2014,9,CHI
2014,9,DET
2014,9,GB
2014,9,TEN
2014,9,ATL
2014,9,BUF
2014,10,NE
2014,10,SD
2014,10,WAS
2014,10,HOU
2014,10,IND
2014,10,MIN
2014,11,JAC
2014,11,BAL
2014,11,DAL
2014,11,NYJ
2014,12,PIT
2014,12,CAR
2015,4,TEN
2015,4,NE
2015,5,MIA
2015,5,MIN
2015,5,NYJ
2015,5,CAR
2015,6,DAL
2015,6,OAK
2015,6,LARM/STL
2015,6,TB
2015,7,CHI
2015,7,CIN
2015,7,DEN
2015,7,GB
2015,8,BUF
2015,8,PHI
2015,8,WAS
2015,8,JAC
2015,9,DET
2015,9,KC
2015,9,ARI
2015,9,SEA
2015,9,BAL
2015,9,HOU
2015,10,ATL
2015,10,IND
2015,10,SD
2015,10,SF
2015,11,CLE
2015,11,NO
2015,11,NYG
2015,11,PIT
2016,4,GB
2016,4,PHI
2016,5,JAC
2016,5,KC
2016,5,NO
2016,5,SEA
2016,6,MIN
2016,6,TB
2016,7,CAR
2016,7,DAL
2016,8,BAL
2016,8,LARM/STL
2016,8,MIA
2016,8,NYG
2016,8,PIT
2016,8,SF
2016,9,ARI
2016,9,CHI
2016,9,CIN
2016,9,HOU
2016,9,NE
2016,9,WAS
2016,10,BUF
2016,10,DET
2016,10,IND
2016,10,OAK
2016,11,ATL
2016,11,DEN
2016,11,NYJ
2016,11,SD
2016,13,CLE
2016,13,TEN
