Year,Team,Players
2012,"ARI",62
2012,"ATL",56
2012,"BAL",60
2012,"BUF",63
2012,"CAR",65
2012,"CHI",60
2012,"CIN",62
2012,"CLE",60
2012,"DAL",65
2012,"DEN",57
2012,"DET",66
2012,"GB",61
2012,"HOU",59
2012,"IND",67
2012,"JAC",73
2012,"KC",63
2012,"LARM/STL",58
2012,"MIA",64
2012,"MIN",52
2012,"NE",66
2012,"NO",58
2012,"NYG",59
2012,"NYJ",68
2012,"OAK",62
2012,"PHI",64
2012,"PIT",59
2012,"SD",65
2012,"SEA",59
2012,"SF",55
2012,"TB",65
2012,"TEN",62
2012,"WAS",63
2013,"ARI",58
2013,"ATL",59
2013,"BAL",60
2013,"BUF",63
2013,"CAR",61
2013,"CHI",60
2013,"CIN",60
2013,"CLE",63
2013,"DAL",68
2013,"DEN",58
2013,"DET",58
2013,"GB",65
2013,"HOU",68
2013,"IND",73
2013,"JAC",66
2013,"KC",58
2013,"LARM/STL",57
2013,"MIA",61
2013,"MIN",59
2013,"NE",64
2013,"NO",59
2013,"NYG",63
2013,"NYJ",62
2013,"OAK",61
2013,"PHI",55
2013,"PIT",60
2013,"SD",59
2013,"SEA",62
2013,"SF",59
2013,"TB",63
2013,"TEN",61
2013,"WAS",60
2014,"ARI",60
2014,"ATL",56
2014,"BAL",65
2014,"BUF",57
2014,"CAR",65
2014,"CHI",71
2014,"CIN",58
2014,"CLE",67
2014,"DAL",57
2014,"DEN",58
2014,"DET",62
2014,"GB",56
2014,"HOU",61
2014,"IND",62
2014,"JAC",66
2014,"KC",60
2014,"LARM/STL",59
2014,"MIA",66
2014,"MIN",58
2014,"NE",65
2014,"NO",62
2014,"NYG",69
2014,"NYJ",63
2014,"OAK",66
2014,"PHI",56
2014,"PIT",54
2014,"SD",62
2014,"SEA",66
2014,"SF",63
2014,"TB",69
2014,"TEN",67
2014,"WAS",69
2015,"ARI",56
2015,"ATL",61
2015,"BAL",72
2015,"BUF",70
2015,"CAR",59
2015,"CHI",70
2015,"CIN",55
2015,"CLE",63
2015,"DAL",64
2015,"DEN",56
2015,"DET",62
2015,"GB",59
2015,"HOU",65
2015,"IND",72
2015,"JAC",63
2015,"KC",56
2015,"LARM/STL",63
2015,"MIA",67
2015,"MIN",56
2015,"NE",72
2015,"NO",68
2015,"NYG",70
2015,"NYJ",61
2015,"OAK",62
2015,"PHI",56
2015,"PIT",59
2015,"SD",65
2015,"SEA",67
2015,"SF",62
2015,"TB",67
2015,"TEN",62
2015,"WAS",68
2016,"ARI",69
2016,"ATL",63
2016,"BAL",64
2016,"BUF",68
2016,"CAR",67
2016,"CHI",70
2016,"CIN",57
2016,"CLE",66
2016,"DAL",59
2016,"DEN",62
2016,"DET",64
2016,"GB",64
2016,"HOU",62
2016,"IND",68
2016,"JAC",65
2016,"KC",61
2016,"LARM/STL",62
2016,"MIA",64
2016,"MIN",61
2016,"NE",60
2016,"NO",63
2016,"NYG",61
2016,"NYJ",72
2016,"OAK",59
2016,"PHI",59
2016,"PIT",58
2016,"SD",68
2016,"SEA",66
2016,"SF",68
2016,"TB",64
2016,"TEN",59
2016,"WAS",63
